AGE_GROUP,TOTALPOSITIVE,DATE,CASE_PERCENT,DEATHS,DEATHS_PERCENT,CA_PERCENT
0-17,63118,8/18/2020,9.9,1,0,22.5
18-49,384524,8/18/2020,60.2,812,7.2,43.5
50-64,121521,8/18/2020,19,2084,18.4,18.4
65,68806,8/18/2020,10.8,8401,74.3,15.6
0-17,63909,8/19/2020,9.9,1,0,22.5
18-49,388034,8/19/2020,60.2,833,7.3,43.5
50-64,122554,8/19/2020,19,2112,18.4,18.4
65,69380,8/19/2020,10.8,8517,74.3,15.6
0-17,64573,8/20/2020,9.9,2,0,22.5
18-49,391321,8/20/2020,60.2,842,7.3,43.5
50-64,123591,8/20/2020,19,2142,18.5,18.4
65,69957,8/20/2020,10.8,8601,74.2,15.6
0-17,65360,8/21/2020,9.9,2,0,22.5
18-49,395106,8/21/2020,60.1,847,7.2,43.5
50-64,124841,8/21/2020,19,2169,18.5,18.4
65,70688,8/21/2020,10.8,8720,74.3,15.6
0-17,66204,8/22/2020,10,2,0,22.5
18-49,399060,8/22/2020,60.1,866,7.2,43.5
50-64,126041,8/22/2020,19,2204,18.5,18.4
65,71455,8/22/2020,10.8,8870,74.3,15.6
0-17,66828,8/23/2020,10,2,0,22.5
18-49,401960,8/23/2020,60.1,868,7.3,43.5
50-64,126998,8/23/2020,19,2209,18.5,18.4
65,71901,8/23/2020,10.8,8873,74.2,15.6
0-17,67462,8/24/2020,10,2,0,22.5
18-49,404499,8/24/2020,60.1,871,7.3,43.5
50-64,127847,8/24/2020,19,2213,18.4,18.4
65,72358,8/24/2020,10.8,8914,74.3,15.6
0-17,68163,8/25/2020,10,3,0,22.5
18-49,408100,8/25/2020,60.1,877,7.2,43.5
50-64,128929,8/25/2020,19,2247,18.5,18.4
65,72988,8/25/2020,10.7,9027,74.2,15.6
0-17,68731,8/26/2020,10.1,3,0,22.5
18-49,410668,8/26/2020,60.1,888,7.2,43.5
50-64,129732,8/26/2020,19,2266,18.4,18.4
65,73489,8/26/2020,10.8,9135,74.3,15.6
0-17,69369,8/27/2020,10.1,4,0,22.5
18-49,413764,8/27/2020,60.1,901,7.2,43.5
50-64,130701,8/27/2020,19,2301,18.5,18.4
65,74124,8/27/2020,10.8,9252,74.2,15.6
0-17,69964,8/28/2020,10.1,3,0,22.5
18-49,416615,8/28/2020,60,907,7.2,43.5
50-64,131694,8/28/2020,19,2317,18.4,18.4
65,74665,8/28/2020,10.8,9339,74.3,15.6
0-17,70677,8/29/2020,10.1,3,0,22.5
18-49,420231,8/29/2020,60,922,7.2,43.5
50-64,132806,8/29/2020,19,2348,18.4,18.4
65,75284,8/29/2020,10.8,9470,74.3,15.6
0-17,71224,8/30/2020,10.1,3,0,22.5
18-49,422691,8/30/2020,60,920,7.2,43.5
50-64,133533,8/30/2020,19,2351,18.4,18.4
65,75729,8/30/2020,10.8,9481,74.3,15.6
0-17,71776,8/31/2020,10.1,3,0,22.5
18-49,424850,8/31/2020,60,924,7.2,43.5
50-64,134175,8/31/2020,19,2359,18.4,18.4
65,76098,8/31/2020,10.8,9507,74.3,15.6
0-17,72271,9/1/2020,10.1,3,0,22.5
18-49,427519,9/1/2020,60,932,7.2,43.5
50-64,134862,9/1/2020,18.9,2402,18.5,18.4
65,76511,9/1/2020,10.7,9614,74.2,15.6
0-17,72822,9/2/2020,10.2,3,0,22.5
18-49,430475,9/2/2020,60,943,7.2,43.5
50-64,135797,9/2/2020,18.9,2438,18.6,18.4
65,77191,9/2/2020,10.8,9734,74.2,15.6
0-17,73330,9/3/2020,10.2,3,0,22.5
18-49,433487,9/3/2020,60,963,7.2,43.5
50-64,136757,9/3/2020,18.9,2466,18.6,18.4
65,77807,9/3/2020,10.8,9858,74.2,15.6
0-17,73915,9/4/2020,10.2,3,0,22.5
18-49,436511,9/4/2020,60,978,7.3,43.5
50-64,137641,9/4/2020,18.9,2513,18.7,18.4
65,78262,9/4/2020,10.8,9973,74,15.6
0-17,74490,9/5/2020,10.2,3,0,22.5
18-49,439510,9/5/2020,60,986,7.3,43.5
50-64,138496,9/5/2020,18.9,2536,18.7,18.4
65,78740,9/5/2020,10.8,10065,74.1,15.6
0-17,74886,9/6/2020,10.2,3,0,22.5
18-49,441336,9/6/2020,60,983,7.2,43.5
50-64,139067,9/6/2020,18.9,2543,18.7,18.4
65,79046,9/6/2020,10.8,10065,74,15.6
0-17,75198,9/7/2020,10.2,3,0,22.5
18-49,442946,9/7/2020,60,986,7.2,43.5
50-64,139563,9/7/2020,18.9,2550,18.7,18.4
65,79301,9/7/2020,10.7,10106,74.1,15.6
0-17,75382,9/8/2020,10.2,3,0,22.5
18-49,443906,9/8/2020,60,990,7.2,43.5
50-64,139866,9/8/2020,18.9,2578,18.8,18.4
65,79476,9/8/2020,10.7,10154,74,15.6
0-17,75769,9/9/2020,10.2,3,0,22.5
18-49,445900,9/9/2020,60,1000,7.2,43.5
50-64,140488,9/9/2020,18.9,2616,18.9,18.4
65,79803,9/9/2020,10.7,10226,73.8,15.6
0-17,76136,9/10/2020,10.2,3,0,22.5
18-49,447876,9/10/2020,60,1004,7.2,43.5
50-64,141078,9/10/2020,18.9,2643,18.9,18.4
65,80183,9/10/2020,10.7,10311,73.8,15.6
0-17,76593,9/11/2020,10.2,3,0,22.5
18-49,450341,9/11/2020,60,1010,7.2,43.5
50-64,141798,9/11/2020,18.9,2671,19,18.4
65,80630,9/11/2020,10.7,10396,73.8,15.6
0-17,77187,9/12/2020,10.2,3,0,22.5
18-49,453134,9/12/2020,60,1022,7.2,43.5
50-64,142627,9/12/2020,18.9,2695,19,18.4
65,81053,9/12/2020,10.7,10489,73.8,15.6
0-17,77560,9/13/2020,10.2,3,0,22.5
18-49,454811,9/13/2020,60,1023,7.2,43.5
50-64,143153,9/13/2020,18.9,2693,19,18.4
65,81333,9/13/2020,10.7,10491,73.8,15.6
0-17,77859,9/14/2020,10.2,3,0,22.5
18-49,456173,9/14/2020,60,1023,7.2,43.5
50-64,143563,9/14/2020,18.9,2716,19,18.4
65,81506,9/14/2020,10.7,10517,73.8,15.6
0-17,78192,9/15/2020,10.2,3,0,22.5
18-49,457919,9/15/2020,60,1030,7.1,43.5
50-64,144116,9/15/2020,18.9,2742,19,18.4
65,81822,9/15/2020,10.7,10635,73.8,15.6
0-17,78506,9/16/2020,10.2,3,0,22.5
18-49,459903,9/16/2020,60,1038,7.2,43.5
50-64,144721,9/16/2020,18.9,2758,19,18.4
65,82148,9/16/2020,10.7,10718,73.8,15.6
0-17,78946,9/17/2020,10.3,3,0,22.5
18-49,462003,9/17/2020,60,1051,7.2,43.5
50-64,145439,9/17/2020,18.9,2783,19,18.4
65,82521,9/17/2020,10.7,10790,73.8,15.6
0-17,79502,9/18/2020,10.3,3,0,22.5
18-49,464501,9/18/2020,60,1070,7.2,43.5
50-64,146262,9/18/2020,18.9,2823,19.1,18.4
65,82954,9/18/2020,10.7,10866,73.6,15.6
0-17,80069,9/19/2020,10.3,2,0,22.5
18-49,466993,9/19/2020,60,1084,7.3,43.5
50-64,147049,9/19/2020,18.9,2838,19.1,18.4
65,83379,9/19/2020,10.7,10924,73.6,15.6
0-17,80508,9/20/2020,10.3,2,0,22.5
18-49,468969,9/20/2020,60,1081,7.3,43.5
50-64,147624,9/20/2020,18.9,2843,19.1,18.4
65,83683,9/20/2020,10.7,10947,73.6,15.6
0-17,80868,9/21/2020,10.3,2,0,22.5
18-49,470432,9/21/2020,60,1084,7.3,43.5
50-64,148177,9/21/2020,18.9,2846,19.1,18.4
65,83936,9/21/2020,10.7,10968,73.6,15.6
0-17,81177,9/22/2020,10.3,2,0,22.5
18-49,472300,9/22/2020,60,1096,7.3,43.5
50-64,148760,9/22/2020,18.9,2870,19.1,18.4
65,84312,9/22/2020,10.7,11070,73.6,15.6
0-17,81545,9/23/2020,10.3,2,0,22.5
18-49,474158,9/23/2020,60,1101,7.3,43.5
50-64,149356,9/23/2020,18.9,2904,19.2,18.4
65,84659,9/23/2020,10.7,11147,73.6,15.6
0-17,81942,9/24/2020,10.3,2,0,22.5
18-49,476199,9/24/2020,60,1109,7.3,43.5
50-64,149978,9/24/2020,18.9,2931,19.2,18.4
65,85007,9/24/2020,10.7,11214,73.5,15.6
0-17,82484,9/25/2020,10.3,2,0,22.5
18-49,478701,9/25/2020,60,1115,7.3,43.5
50-64,150729,9/25/2020,18.9,2953,19.2,18.4
65,85434,9/25/2020,10.7,11291,73.5,15.6
0-17,83024,9/26/2020,10.3,2,0,22.5
18-49,481120,9/26/2020,60,1120,7.3,43.5
50-64,151507,9/26/2020,18.9,2963,19.2,18.4
65,85776,9/26/2020,10.7,11347,73.5,15.6
0-17,83407,9/27/2020,10.4,2,0,22.5
18-49,482861,9/27/2020,60,1125,7.3,43.5
50-64,152059,9/27/2020,18.9,2962,19.2,18.4
65,86053,9/27/2020,10.7,11362,73.5,15.6
0-17,83695,9/28/2020,10.4,2,0,22.5
18-49,484115,9/28/2020,60,1125,7.3,43.5
50-64,152456,9/28/2020,18.9,2963,19.2,18.4
65,86274,9/28/2020,10.7,11372,73.5,15.6
0-17,84064,9/29/2020,10.4,2,0,22.5
18-49,485990,9/29/2020,60,1136,7.3,43.5
50-64,153030,9/29/2020,18.9,2993,19.1,18.4
65,86652,9/29/2020,10.7,11526,73.6,15.6
0-17,84468,9/30/2020,10.4,2,0,22.5
18-49,487779,9/30/2020,59.9,1140,7.2,43.5
50-64,153584,9/30/2020,18.9,3019,19.2,18.4
65,86965,9/30/2020,10.7,11596,73.6,15.6
0-17,84871,10/1/2020,10.4,2,0,22.5
18-49,489846,10/1/2020,59.9,1157,7.3,43.5
50-64,154299,10/1/2020,18.9,3053,19.2,18.4
65,87371,10/1/2020,10.7,11706,73.5,15.6
0-17,85246,10/2/2020,10.4,2,0,22.5
18-49,491142,10/2/2020,59.9,1153,7.2,43.5
50-64,154619,10/2/2020,18.9,3064,19.2,18.4
65,87546,10/2/2020,10.7,11713,73.5,15.6
0-17,85748,10/3/2020,10.4,2,0,22.5
18-49,493676,10/3/2020,59.9,1160,7.3,43.5
50-64,155398,10/3/2020,18.9,3074,19.2,18.4
65,88023,10/3/2020,10.7,11763,73.5,15.6
0-17,86137,10/4/2020,10.4,2,0,22.5
18-49,495458,10/4/2020,59.9,1162,7.3,43.5
50-64,156007,10/4/2020,18.9,3078,19.2,18.4
65,88296,10/4/2020,10.7,11778,73.5,15.6
0-17,86370,10/5/2020,10.4,2,0,22.5
18-49,496431,10/5/2020,59.9,1166,7.3,43.5
50-64,156312,10/5/2020,18.9,3085,19.2,18.4
65,88464,10/5/2020,10.7,11793,73.5,15.6
0-17,86720,10/6/2020,10.4,2,0,22.5
18-49,498012,10/6/2020,59.9,1167,7.2,43.5
50-64,156845,10/6/2020,18.9,3099,19.2,18.4
65,88764,10/6/2020,10.7,11863,73.5,15.6
0-17,87201,10/7/2020,10.4,2,0,22.5
18-49,500052,10/7/2020,59.9,1174,7.2,43.5
50-64,157546,10/7/2020,18.9,3116,19.2,18.4
65,89114,10/7/2020,10.7,11933,73.5,15.6
0-17,87657,10/8/2020,10.5,2,0,22.5
18-49,502291,10/8/2020,59.9,1180,7.2,43.5
50-64,158233,10/8/2020,18.9,3124,19.2,18.4
65,89535,10/8/2020,10.7,11992,73.6,15.6
0-17,88203,10/9/2020,10.5,2,0,22.5
18-49,504734,10/9/2020,59.9,1183,7.2,43.5
50-64,159028,10/9/2020,18.9,3139,19.2,18.4
65,89927,10/9/2020,10.7,12056,73.6,15.6
0-17,88691,10/10/2020,10.5,2,0,22.5
18-49,507025,10/10/2020,59.9,1188,7.2,43.5
50-64,159737,10/10/2020,18.9,3153,19.2,18.4
65,90249,10/10/2020,10.7,12117,73.6,15.6
0-17,89138,10/11/2020,10.5,2,0,22.5
18-49,509044,10/11/2020,59.9,1189,7.2,43.5
50-64,160393,10/11/2020,18.9,3157,19.2,18.4
65,90571,10/11/2020,10.7,12122,73.6,15.6
0-17,89498,10/12/2020,10.5,2,0,22.5
18-49,510413,10/12/2020,59.9,1189,7.2,43.5
50-64,160823,10/12/2020,18.9,3159,19.2,18.4
65,90787,10/12/2020,10.7,12130,73.6,15.6
0-17,89843,10/13/2020,10.5,2,0,22.5
18-49,511954,10/13/2020,59.9,1189,7.2,43.5
50-64,161329,10/13/2020,18.9,3166,19.2,18.4
65,91051,10/13/2020,10.6,12165,73.6,15.6
0-17,90259,10/14/2020,10.5,2,0,22.5
18-49,513932,10/14/2020,59.9,1197,7.2,43.5
50-64,161957,10/14/2020,18.9,3180,19.1,18.4
65,91359,10/14/2020,10.6,12242,73.7,15.6
0-17,90645,10/15/2020,10.5,2,0,22.5
18-49,515699,10/15/2020,59.9,1201,7.2,43.5
50-64,162544,10/15/2020,18.9,3202,19.2,18.4
65,91697,10/15/2020,10.6,12306,73.6,15.6
0-17,91051,10/16/2020,10.5,2,0,22.5
18-49,517420,10/16/2020,59.9,1207,7.2,43.5
50-64,163077,10/16/2020,18.9,3216,19.2,18.4
65,92027,10/16/2020,10.6,12364,73.6,15.6
0-17,91471,10/17/2020,10.5,2,0,22.5
18-49,519066,10/17/2020,59.8,1212,7.2,43.5
50-64,163593,10/17/2020,18.9,3238,19.2,18.4
65,92326,10/17/2020,10.6,12430,73.6,15.6
0-17,91935,10/18/2020,10.6,2,0,22.5
18-49,521159,10/18/2020,59.8,1212,7.2,43.5
50-64,164194,10/18/2020,18.9,3243,19.2,18.4
65,92643,10/18/2020,10.6,12436,73.6,15.6
0-17,92375,10/19/2020,10.6,2,0,22.5
18-49,523072,10/19/2020,59.8,1216,7.2,43.5
50-64,164817,10/19/2020,18.9,3244,19.2,18.4
65,92952,10/19/2020,10.6,12445,73.6,15.6
0-17,92864,10/20/2020,10.6,2,0,22.5
18-49,525174,10/20/2020,59.8,1218,7.2,43.5
50-64,165568,10/20/2020,18.9,3255,19.2,18.4
65,93333,10/20/2020,10.6,12511,73.7,15.6
0-17,93249,10/21/2020,10.6,2,0,22.5
18-49,526820,10/21/2020,59.8,1229,7.2,43.5
50-64,166162,10/21/2020,18.9,3274,19.1,18.4
65,93662,10/21/2020,10.6,12617,73.7,15.6
0-17,94030,10/22/2020,10.6,2,0,22.5
18-49,530359,10/22/2020,59.8,1229,7.2,43.5
50-64,167321,10/22/2020,18.9,3283,19.1,18.4
65,94321,10/22/2020,10.6,12670,73.7,15.6
0-17,94896,10/23/2020,10.6,2,0,22.5
18-49,533822,10/23/2020,59.8,1229,7.1,43.5
50-64,168370,10/23/2020,18.9,3290,19.1,18.4
65,94882,10/23/2020,10.6,12709,73.8,15.6
0-17,95603,10/24/2020,10.6,2,0,22.5
18-49,536903,10/24/2020,59.8,1234,7.1,43.5
50-64,169336,10/24/2020,18.9,3305,19.1,18.4
65,95336,10/24/2020,10.6,12744,73.7,15.6
0-17,95990,10/25/2020,10.7,2,0,22.5
18-49,538674,10/25/2020,59.8,1236,7.1,43.5
50-64,169913,10/25/2020,18.9,3305,19.1,18.4
65,95584,10/25/2020,10.6,12754,73.7,15.6
0-17,96360,10/26/2020,10.7,2,0,22.5
18-49,540531,10/26/2020,59.8,1236,7.1,43.5
50-64,170563,10/26/2020,18.9,3307,19.1,18.4
65,95901,10/26/2020,10.6,12767,73.7,15.6
0-17,96978,10/27/2020,10.7,2,0,22.5
18-49,543262,10/27/2020,59.8,1252,7.2,43.5
50-64,171333,10/27/2020,18.9,3332,19.1,18.4
65,96305,10/27/2020,10.6,12842,73.7,15.6
0-17,97497,10/28/2020,10.7,2,0,22.5
18-49,545660,10/28/2020,59.8,1257,7.2,43.5
50-64,172094,10/28/2020,18.9,3342,19.1,18.4
65,96800,10/28/2020,10.6,12900,73.7,15.6
0-17,97994,10/29/2020,10.7,2,0,22.5
18-49,547963,10/29/2020,59.8,1258,7.2,43.5
50-64,172862,10/29/2020,18.9,3349,19.1,18.4
65,97247,10/29/2020,10.6,12936,73.7,15.6
0-17,98615,10/30/2020,10.7,2,0,22.5
18-49,550862,10/30/2020,59.7,1270,7.2,43.5
50-64,173917,10/30/2020,18.9,3359,19.1,18.4
65,97764,10/30/2020,10.6,12972,73.7,15.6
0-17,99123,10/31/2020,10.7,2,0,22.5
18-49,553578,10/31/2020,59.7,1273,7.2,43.5
50-64,174737,10/31/2020,18.9,3365,19.1,18.4
65,98240,10/31/2020,10.6,13020,73.7,15.6
0-17,99679,11/1/2020,10.7,2,0,22.5
18-49,555933,11/1/2020,59.7,1274,7.2,43.5
50-64,175508,11/1/2020,18.9,3368,19,18.4
65,98643,11/1/2020,10.6,13037,73.7,15.6
0-17,100239,11/2/2020,10.7,2,0,22.5
18-49,558194,11/2/2020,59.7,1275,7.2,43.5
50-64,176308,11/2/2020,18.9,3369,19,18.4
65,99065,11/2/2020,10.6,13044,73.7,15.6
0-17,100856,11/3/2020,10.7,2,0,22.5
18-49,561326,11/3/2020,59.7,1282,7.2,43.5
50-64,177367,11/3/2020,18.9,3382,19,18.4
65,99592,11/3/2020,10.6,13104,73.7,15.6
0-17,101430,11/4/2020,10.7,2,0,22.5
18-49,564094,11/4/2020,59.7,1292,7.2,43.5
50-64,178172,11/4/2020,18.9,3391,19,18.4
65,100004,11/4/2020,10.6,13147,73.7,15.6
0-17,102277,11/5/2020,10.8,2,0,22.5
18-49,567927,11/5/2020,59.7,1298,7.3,43.5
50-64,179365,11/5/2020,18.9,3409,19,18.4
65,100643,11/5/2020,10.6,13188,73.7,15.6
0-17,102996,11/6/2020,10.8,2,0,22.5
18-49,571373,11/6/2020,59.7,1300,7.2,43.5
50-64,180424,11/6/2020,18.9,3421,19.1,18.4
65,101279,11/6/2020,10.6,13220,73.7,15.6
0-17,103975,11/7/2020,10.8,2,0,22.5
18-49,576051,11/7/2020,59.7,1303,7.2,43.5
50-64,181808,11/7/2020,18.8,3439,19.1,18.4
65,101922,11/7/2020,10.6,13272,73.7,15.6
0-17,105005,11/8/2020,10.8,2,0,22.5
18-49,580281,11/8/2020,59.7,1303,7.2,43.5
50-64,183085,11/8/2020,18.8,3438,19.1,18.4
65,102592,11/8/2020,10.6,13275,73.7,15.6
0-17,105792,11/9/2020,10.8,2,0,22.5
18-49,583469,11/9/2020,59.7,1303,7.2,43.5
50-64,184005,11/9/2020,18.8,3440,19.1,18.4
65,103063,11/9/2020,10.5,13281,73.7,15.6
0-17,106693,11/10/2020,10.8,2,0,22.5
18-49,588029,11/10/2020,59.7,1308,7.2,43.5
50-64,185315,11/10/2020,18.8,3453,19.1,18.4
65,103745,11/10/2020,10.5,13330,73.7,15.6
0-17,107582,11/11/2020,10.8,2,0,22.5
18-49,592114,11/11/2020,59.7,1312,7.2,43.5
50-64,186603,11/11/2020,18.8,3463,19.1,18.4
65,104403,11/11/2020,10.5,13359,73.7,15.6
0-17,108445,11/12/2020,10.9,2,0,22.5
18-49,596237,11/12/2020,59.7,1315,7.2,43.5
50-64,187873,11/12/2020,18.8,3470,19.1,18.4
65,105031,11/12/2020,10.5,13375,73.6,15.6
0-17,109636,11/13/2020,10.9,2,0,22.5
18-49,602180,11/13/2020,59.7,1321,7.2,43.5
50-64,189615,11/13/2020,18.8,3487,19.1,18.4
65,106013,11/13/2020,10.5,13426,73.6,15.6
0-17,111029,11/14/2020,10.9,2,0,22.5
18-49,608738,11/14/2020,59.7,1325,7.2,43.5
50-64,191565,11/14/2020,18.8,3498,19.1,18.4
65,107074,11/14/2020,10.5,13476,73.6,15.6
0-17,112297,11/15/2020,10.9,2,0,22.5
18-49,614649,11/15/2020,59.7,1328,7.2,43.5
50-64,193375,11/15/2020,18.8,3502,19.1,18.4
65,107973,11/15/2020,10.5,13490,73.6,15.6
0-17,113638,11/16/2020,10.9,2,0,22.5
18-49,619702,11/16/2020,59.7,1329,7.2,43.5
50-64,194932,11/16/2020,18.8,3502,19.1,18.4
65,108766,11/16/2020,10.5,13509,73.6,15.6
0-17,114812,11/17/2020,11,2,0,22.5
18-49,625550,11/17/2020,59.7,1332,7.2,43.5
50-64,196717,11/17/2020,18.8,3514,19.1,18.4
65,109763,11/17/2020,10.5,13546,73.6,15.6
0-17,116320,11/18/2020,11,2,0,22.5
18-49,632227,11/18/2020,59.7,1340,7.2,43.5
50-64,198904,11/18/2020,18.8,3535,19.1,18.4
65,110871,11/18/2020,10.5,13624,73.6,15.6
0-17,117930,11/19/2020,11,2,0,22.5
18-49,640116,11/19/2020,59.7,1346,7.2,43.5
50-64,201254,11/19/2020,18.8,3555,19.1,18.4
65,112026,11/19/2020,10.4,13689,73.6,15.6
0-17,119794,11/20/2020,11,2,0,22.5
18-49,649210,11/20/2020,59.7,1351,7.2,43.5
50-64,204214,11/20/2020,18.8,3573,19.1,18.4
65,113542,11/20/2020,10.4,13754,73.6,15.6
0-17,121574,11/21/2020,11,2,0,22.5
18-49,657635,11/21/2020,59.7,1356,7.2,43.5
50-64,206897,11/21/2020,18.8,3578,19.1,18.4
65,114971,11/21/2020,10.4,13817,73.7,15.6
0-17,122672,11/22/2020,11,2,0,22.5
18-49,662497,11/22/2020,59.7,1358,7.2,43.5
50-64,208339,11/22/2020,18.8,3591,19.1,18.4
65,115905,11/22/2020,10.4,13844,73.7,15.6
0-17,124712,11/23/2020,11.1,2,0,22.5
18-49,671494,11/23/2020,59.7,1358,7.2,43.5
50-64,211185,11/23/2020,18.8,3598,19.1,18.4
65,117343,11/23/2020,10.4,13858,73.6,15.6
0-17,126874,11/24/2020,11.1,2,0,22.5
18-49,682308,11/24/2020,59.6,1366,7.2,43.5
50-64,214756,11/24/2020,18.8,3620,19.1,18.4
65,119130,11/24/2020,10.4,13941,73.6,15.6
0-17,128707,11/25/2020,11.1,2,0,22.5
18-49,690862,11/25/2020,59.6,1370,7.2,43.5
50-64,217589,11/25/2020,18.8,3639,19.1,18.4
65,120544,11/25/2020,10.4,14019,73.7,15.6
0-17,130355,11/26/2020,11.1,2,0,22.5
18-49,698204,11/26/2020,59.6,1370,7.2,43.5
50-64,219932,11/26/2020,18.8,3660,19.2,18.4
65,121832,11/26/2020,10.4,14076,73.7,15.6
0-17,131829,11/27/2020,11.1,2,0,22.5
18-49,705285,11/27/2020,59.6,1372,7.2,43.5
50-64,222191,11/27/2020,18.8,3668,19.2,18.4
65,123005,11/27/2020,10.4,14111,73.7,15.6
0-17,133586,11/28/2020,11.1,2,0,22.5
18-49,714382,11/28/2020,59.6,1374,7.2,43.5
50-64,225207,11/28/2020,18.8,3675,19.2,18.4
65,124744,11/28/2020,10.4,14136,73.7,15.6
0-17,135365,11/29/2020,11.2,2,0,22.5
18-49,722382,11/29/2020,59.6,1377,7.2,43.5
50-64,227953,11/29/2020,18.8,3678,19.1,18.4
65,126255,11/29/2020,10.4,14162,73.7,15.6
0-17,136904,11/30/2020,11.2,2,0,22.5
18-49,729630,11/30/2020,59.6,1376,7.1,43.5
50-64,230204,11/30/2020,18.8,3687,19.2,18.4
65,127432,11/30/2020,10.4,14183,73.7,15.6
0-17,139427,12/1/2020,11.2,2,0,22.5
18-49,741663,12/1/2020,59.5,1386,7.2,43.5
50-64,234277,12/1/2020,18.8,3703,19.1,18.4
65,129548,12/1/2020,10.4,14276,73.7,15.6
0-17,141712,12/2/2020,11.2,2,0,22.5
18-49,752442,12/2/2020,59.5,1391,7.1,43.5
50-64,237843,12/2/2020,18.8,3721,19.1,18.4
65,131495,12/2/2020,10.4,14366,73.7,15.6
0-17,144555,12/3/2020,11.2,2,0,22.5
18-49,765403,12/3/2020,59.5,1403,7.1,43.5
50-64,241906,12/3/2020,18.8,3758,19.1,18.4
65,133635,12/3/2020,10.4,14518,73.8,15.6
0-17,147807,12/4/2020,11.3,2,0,22.5
18-49,780365,12/4/2020,59.5,1411,7.1,43.5
50-64,246393,12/4/2020,18.8,3782,19.1,18.4
65,135981,12/4/2020,10.4,14612,73.8,15.6
0-17,151540,12/5/2020,11.3,2,0,22.5
18-49,798102,12/5/2020,59.5,1420,7.1,43.5
50-64,251923,12/5/2020,18.8,3808,19.1,18.4
65,139047,12/5/2020,10.4,14699,73.8,15.6
0-17,155054,12/6/2020,11.3,2,0,22.5
18-49,812529,12/6/2020,59.5,1434,7.2,43.5
50-64,256392,12/6/2020,18.8,3822,19.1,18.4
65,141371,12/6/2020,10.3,14769,73.7,15.6
0-17,158338,12/7/2020,11.4,2,0,22.5
18-49,826081,12/7/2020,59.4,1437,7.2,43.5
50-64,260565,12/7/2020,18.7,3829,19.1,18.4
65,143631,12/7/2020,10.3,14818,73.8,15.6
0-17,162504,12/8/2020,11.4,2,0,22.5
18-49,844391,12/8/2020,59.4,1450,7.2,43.5
50-64,266080,12/8/2020,18.7,3852,19,18.4
65,146465,12/8/2020,10.3,14949,73.8,15.6
0-17,166453,12/9/2020,11.5,2,0,22.5
18-49,861727,12/9/2020,59.4,1461,7.1,43.5
50-64,271628,12/9/2020,18.7,3891,19,18.4
65,149303,12/9/2020,10.3,15103,73.8,15.6
0-17,171218,12/10/2020,11.5,3,0,22.5
18-49,882580,12/10/2020,59.4,1467,7.1,43.5
50-64,278211,12/10/2020,18.7,3913,19,18.4
65,152545,12/10/2020,10.3,15259,73.9,15.6
0-17,175820,12/11/2020,11.6,3,0,22.5
18-49,903402,12/11/2020,59.4,1473,7.1,43.5
50-64,285130,12/11/2020,18.7,3952,19,18.4
65,155904,12/11/2020,10.2,15382,73.9,15.6
0-17,179873,12/12/2020,11.6,3,0,22.5
18-49,921022,12/12/2020,59.4,1488,7.1,43.5
50-64,290746,12/12/2020,18.7,3983,19,18.4
65,158920,12/12/2020,10.2,15520,73.9,15.6
0-17,184347,12/13/2020,11.6,3,0,22.5
18-49,940264,12/13/2020,59.3,1495,7.1,43.5
50-64,297006,12/13/2020,18.7,3992,18.9,18.4
65,162211,12/13/2020,10.2,15597,74,15.6
0-17,188369,12/14/2020,11.6,3,0,22.5
18-49,958476,12/14/2020,59.3,1502,7.1,43.5
50-64,303461,12/14/2020,18.8,4017,19,18.4
65,165856,12/14/2020,10.3,15655,73.9,15.6
0-17,195429,12/15/2020,11.7,3,0,22.5
18-49,989940,12/15/2020,59.2,1512,7.1,43.5
50-64,313464,12/15/2020,18.8,4053,18.9,18.4
65,171018,12/15/2020,10.2,15841,74,15.6
0-17,202824,12/16/2020,11.8,3,0,22.5
18-49,1020056,12/16/2020,59.2,1532,7,43.5
50-64,323215,12/16/2020,18.8,4133,18.9,18.4
65,176030,12/16/2020,10.2,16148,74,15.6
0-17,208045,12/17/2020,11.8,4,0,22.5
18-49,1043558,12/17/2020,59.1,1549,7,43.5
50-64,331246,12/17/2020,18.8,4172,18.9,18.4
65,180273,12/17/2020,10.2,16354,74.1,15.6
0-17,213673,12/18/2020,11.8,4,0,22.5
18-49,1068602,12/18/2020,59.1,1567,7,43.5
50-64,339716,12/18/2020,18.8,4221,18.9,18.4
65,184721,12/18/2020,10.2,16553,74.1,15.6
0-17,219738,12/19/2020,11.8,4,0,22.5
18-49,1094812,12/19/2020,59,1581,7,43.5
50-64,348936,12/19/2020,18.8,4256,18.9,18.4
65,189671,12/19/2020,10.2,16729,74.1,15.6
0-17,224882,12/20/2020,11.9,4,0,22.5
18-49,1116119,12/20/2020,59,1588,7,43.5
50-64,356328,12/20/2020,18.8,4278,18.8,18.4
65,193693,12/20/2020,10.2,16844,74.2,15.6
0-17,229284,12/21/2020,11.9,4,0,22.5
18-49,1134542,12/21/2020,58.9,1603,7,43.5
50-64,362733,12/21/2020,18.8,4296,18.8,18.4
65,197117,12/21/2020,10.2,16922,74.1,15.6
0-17,234174,12/22/2020,11.9,4,0,22.5
18-49,1156574,12/22/2020,58.9,1621,7,43.5
50-64,370623,12/22/2020,18.9,4347,18.8,18.4
65,201338,12/22/2020,10.3,17124,74.1,15.6
0-17,234174,12/23/2020,11.9,4,0,22.5
