AGE_GROUP,TOTALPOSITIVE,DATE,CASE_PERCENT,DEATHS,DEATHS_PERCENT,CA_PERCENT
65,13948,5/8/2020,21.6,2024,78.6,15.6
0-17,2373,5/9/2020,3.6,0,0,22.5
18-49,33190,5/9/2020,49.8,162,6.1,43.5
50-64,16729,5/9/2020,25.1,405,15.2,18.4
65,14290,5/9/2020,21.4,2089,78.6,15.6
0-17,2444,5/10/2020,3.6,0,0,22.5
18-49,33805,5/10/2020,49.8,163,6.1,43.5
50-64,17002,5/10/2020,25,412,15.3,18.4
65,14597,5/10/2020,21.5,2115,78.6,15.6
0-17,2549,5/11/2020,3.7,0,0,22.5
18-49,34573,5/11/2020,49.8,167,6.1,43.5
50-64,17322,5/11/2020,25,418,15.2,18.4
65,14845,5/11/2020,21.4,2166,78.7,15.6
0-17,2672,5/12/2020,3.8,0,0,22.5
18-49,35567,5/12/2020,50,169,5.9,43.5
50-64,17701,5/12/2020,24.9,440,15.5,18.4
65,15098,5/12/2020,21.2,2236,78.6,15.6
0-17,2799,5/13/2020,3.8,0,0,22.5
18-49,36602,5/13/2020,50,176,6,43.5
50-64,18154,5/13/2020,24.8,445,15.2,18.4
65,15498,5/13/2020,21.2,2304,78.7,15.6
0-17,2951,5/14/2020,3.9,0,0,22.5
18-49,37637,5/14/2020,50.2,183,6,43.5
50-64,18510,5/14/2020,24.7,459,15.2,18.4
65,15725,5/14/2020,21,2386,78.8,15.6
0-17,3064,5/15/2020,4,0,0,22.5
18-49,38611,5/15/2020,50.3,185,5.9,43.5
50-64,18908,5/15/2020,24.6,468,15,18.4
65,16101,5/15/2020,21,2465,79,15.6
0-17,3225,5/16/2020,4.1,0,0,22.5
18-49,39651,5/16/2020,50.3,187,5.9,43.5
50-64,19365,5/16/2020,24.6,475,14.9,18.4
65,16489,5/16/2020,20.9,2516,79.1,15.6
0-17,3355,5/17/2020,4.2,0,0,22.5
18-49,40539,5/17/2020,50.4,189,5.9,43.5
0-17,11064,6/16/2020,7,0,0,22.5
18-49,85325,6/16/2020,54.3,312,6.2,43.5
50-64,34922,6/16/2020,22.2,812,16,18.4
65,25503,6/16/2020,16.2,3939,77.8,15.6
0-17,10451,6/14/2020,6.9,0,0,22.5
18-49,81943,6/14/2020,54.1,307,6.2,43.5
50-64,33871,6/14/2020,22.4,798,16,18.4
65,24981,6/14/2020,16.5,3874,77.8,15.6
0-17,9819,6/12/2020,6.7,0,0,22.5
18-49,78441,6/12/2020,53.9,296,6.1,43.5
50-64,32783,6/12/2020,22.5,778,15.9,18.4
65,24403,6/12/2020,16.8,3804,78,15.6
0-17,7947,6/6/2020,6.2,0,0,22.5
18-49,68412,6/6/2020,53.1,269,6,43.5
50-64,29556,6/6/2020,22.9,709,15.8,18.4
65,22704,6/6/2020,17.6,3523,78.3,15.6
0-17,7678,6/5/2020,6.1,0,0,22.5
18-49,66755,6/5/2020,53,261,5.9,43.5
50-64,29033,6/5/2020,23,696,15.7,18.4
65,22365,6/5/2020,17.7,3478,78.4,15.6
50-64,19703,5/17/2020,24.5,481,15,18.4
65,16727,5/17/2020,20.8,2546,79.2,15.6
0-17,3446,5/18/2020,4.2,0,0,22.5
18-49,41321,5/18/2020,50.5,190,5.8,43.5
50-64,20003,5/18/2020,24.5,483,14.9,18.4
65,16920,5/18/2020,20.7,2577,79.3,15.6
0-17,3657,5/19/2020,4.4,0,0,22.5
18-49,42591,5/19/2020,50.7,195,5.8,43.5
50-64,20468,5/19/2020,24.4,509,15.1,18.4
65,17232,5/19/2020,20.5,2670,79.1,15.6
0-17,3855,5/20/2020,4.5,0,0,22.5
18-49,43749,5/20/2020,50.8,198,5.7,43.5
50-64,20967,5/20/2020,24.3,522,15.1,18.4
65,17513,5/20/2020,20.3,2731,79.1,15.6
0-17,4049,5/21/2020,4.6,0,0,22.5
18-49,44952,5/21/2020,50.8,203,5.7,43.5
