RACE_ETHNICITY,CASES,CASE_PERCENTAGE,DEATHS,DEATH_PERCENTAGE,PERCENT_CA_POPULATION,DATE
Black,1176,6.91,87,11.43,6,4/15/2020
Black,1244,6.83,103,12.1,6,4/16/2020
Black,1312,6.78,110,11.97,6,4/17/2020
Black,1376,6.76,120,11.94,6,4/18/2020
Black,1414,6.8,125,12.03,6,4/19/2020
Black,1479,6.59,130,11.99,6,4/20/2020
Black,1630,6.89,138,11.79,6,4/21/2020
Black,1682,6.81,149,11.76,6,4/22/2020
Black,1750,6.81,157,11.32,6,4/23/2020
Black,1801,6.71,165,11.26,6,4/24/2020
Black,1839,6.67,170,11.02,6,4/25/2020
Black,1871,6.62,173,11.02,6,4/26/2020
Black,1903,6.55,177,10.65,6,4/27/2020
Black,1977,6.506928216,186,10.67738232,6,4/28/2020
Black,2055,6.482240868,196,10.7515085,6,4/29/2020
Black,2131,6.4,201,10.6,6,4/30/2020
Black,2210,6.421058748,211,10.65656566,6,5/1/2020
Black,2289,6.3,214,10.4,6,5/2/2020
Black,2330,6.303430365,216,10.3250478,6,5/3/2020
Black,2363,6.3,220,10.3,6,5/4/2020
Black,2456,6.2,230,10.3,6,5/5/2020
Black,2527,6.2,238,10.3,6,5/6/2020
Black,2597,6.2,246,10.3,6,5/7/2020
Black,2659,6.2,252,10.3,6,5/8/2020
Black,2741,6.2,264,10.3,6,5/9/2020
Black,2777,6.2,266,10.3,6,5/10/2020
Black,2812,6.1,271,10.3,6,5/11/2020
Black,2869,6.1,280,10.3,6,5/12/2020
Black,2937,6,285,10.2,6,5/13/2020
Black,3026,5.923692814,292,10.1,6,5/14/2020
Other,1269,8.66,9,1.5,0,4/13/2020
Other,1306,8.22,16,2.34,0,4/14/2020
Other,1385,8.14,18,2.37,0,4/15/2020
Other,1414,7.76,18,2.12,0,4/16/2020
Other,1463,7.56,20,2.18,0,4/17/2020
Other,1489,7.32,23,2.29,0,4/18/2020
Other,1555,7.48,20,1.92,0,4/19/2020
Other,1632,7.27,20,1.85,0,4/20/2020
Other,1735,7.34,24,2.05,0,4/21/2020
Other,1698,6.88,23,1.82,0,4/22/2020
Other,1731,6.73,35,2.52,0,4/23/2020
Other,1794,6.69,35,2.39,0,4/24/2020
Other,1824,6.61,40,2.59,0,4/25/2020
Other,1882,6.66,40,2.55,0,4/26/2020
Other,1911,6.58,36,2.17,0,4/27/2020
Other,2033,6.691241813,33,1.894374282,0,4/28/2020
Other,2046,6.453851492,33,1.810202962,0,4/29/2020
Other,2089,6.3,32,1.7,0,4/30/2020
Other,2130,6.188622233,36,1.818181818,0,5/1/2020
Other,2151,6,35,1.7,0,5/2/2020
Other,2186,5.913862136,36,1.7208413,0,5/3/2020
Other,2275,6,36,1.7,0,5/4/2020
Other,2365,6,39,1.8,0,5/5/2020
Other,2375,5.9,41,1.8,0,5/6/2020
Other,2391,5.7,42,1.8,0,5/7/2020
Other,2457,5.7,39,1.6,0,5/8/2020
Other,2485,5.6,36,1.4,0,5/9/2020
Other,2545,5.6,36,1.4,0,5/10/2020
Other,2575,5.6,36,1.4,0,5/11/2020
Other,2636,5.6,42,1.5,0,5/12/2020
Other,2715,5.5,39,1.4,0,5/13/2020
Other,2734,5.352074076,40,1.4,0,5/14/2020
Latino,27943,53,1110,37.1,38.9,5/15/2020
Latino,29208,53.5,1137,37.2,38.9,5/16/2020
Latino,29693,53.4,1173,37.3,38.9,5/17/2020
Latino,30391,53.5,1187,37.4,38.9,5/18/2020
Latino,31432,53.9,1235,37.5,38.9,5/19/2020
Latino,32662,54.4,1271,37.6,38.9,5/20/2020
Latino,33639,54.5,1308,37.8,38.9,5/21/2020
Latino,34809,54.8,1329,37.9,38.9,5/22/2020
Latino,35760,54.9,1357,38,38.9,5/23/2020
Latino,36371,54.8,1367,38,38.9,5/24/2020
Latino,36850,54.6,1373,38.1,38.9,5/25/2020
Latino,37768,54.5,1383,38.1,38.9,5/26/2020
Latino,38929,54.5,1434,38.4,38.9,5/27/2020
Latino,40134,54.6,1465,38.5,38.9,5/28/2020
Latino,41386,54.6,1506,38.7,38.9,5/29/2020
Latino,42897,54.5,1545,39,38.9,5/30/2020
Latino,43392,54.3,1563,39,38.9,5/31/2020
Latino,43951,54.2,1582,39,38.9,6/1/2020
Latino,44975,54.1,1631,39.2,38.9,6/2/2020
Latino,45965,54.2,1665,39.4,38.9,6/3/2020
Latino,47514,54.5,1692,39.4,38.9,6/4/2020
Latino,48779,54.7,1715,39.4,38.9,6/5/2020
Latino,50302,55.1,1747,39.5,38.9,6/6/2020
White,12153,23,1021,34.1,36.6,5/15/2020
White,12452,22.8,1039,34,36.6,5/16/2020
White,12598,22.7,1080,34.3,36.6,5/17/2020
White,12960,22.8,1096,34.5,36.6,5/18/2020
White,13185,22.6,1125,34.2,36.6,5/19/2020
White,13437,22.4,1158,34.3,36.6,5/20/2020
White,13762,22.3,1180,34.1,36.6,5/21/2020
White,14007,22.1,1195,34.1,36.6,5/22/2020
White,14218,21.8,1228,34.4,36.6,5/23/2020
White,14367,21.6,1232,34.3,36.6,5/24/2020
White,14498,21.5,1236,34.3,36.6,5/25/2020
White,14640,21.1,1241,34.2,36.6,5/26/2020
White,14915,20.9,1260,33.8,36.6,5/27/2020
White,15132,20.6,1289,33.8,36.6,5/28/2020
White,15357,20.3,1317,33.8,36.6,5/29/2020
White,15843,20.1,1333,33.6,36.6,5/30/2020
White,15954,20,1344,33.6,36.6,5/31/2020
White,16114,19.9,1369,33.7,36.6,6/1/2020
White,16402,19.7,1395,33.6,36.6,6/2/2020
White,16634,19.6,1416,33.5,36.6,6/3/2020
White,17013,19.5,1432,33.4,36.6,6/4/2020
White,17221,19.3,1457,33.5,36.6,6/5/2020
White,17486,19.1,1475,33.3,36.6,6/6/2020
Asian,5595,10.6,461,15.4,15.4,5/15/2020
Asian,5804,10.6,468,15.3,15.4,5/16/2020
Asian,5952,10.7,472,15,15.4,5/17/2020
Asian,6003,10.6,475,14.9,15.4,5/18/2020
Asian,6119,10.5,496,15.1,15.4,5/19/2020
Asian,6210,10.3,508,15,15.4,5/20/2020
Asian,6344,10.3,514,14.9,15.4,5/21/2020
Asian,6441,10.1,520,14.8,15.4,5/22/2020
Asian,6518,10,528,14.8,15.4,5/23/2020
Asian,6571,9.9,531,14.8,15.4,5/24/2020
Asian,6642,9.8,533,14.8,15.4,5/25/2020
Asian,6716,9.7,539,14.8,15.4,5/26/2020
Asian,6809,9.5,551,14.8,15.4,5/27/2020
Asian,6896,9.4,563,14.8,15.4,5/28/2020
Asian,7090,9.4,577,14.8,15.4,5/29/2020
Asian,7209,9.2,591,14.9,15.4,5/30/2020
Asian,7237,9.1,595,14.9,15.4,5/31/2020
Asian,7291,9,601,14.8,15.4,6/1/2020
Asian,7387,8.9,613,14.7,15.4,6/2/2020
Asian,7471,8.8,619,14.6,15.4,6/3/2020
Asian,7638,8.8,644,15,15.4,6/4/2020
Asian,7723,8.7,652,15,15.4,6/5/2020
Asian,7821,8.6,661,14.9,15.4,6/6/2020
Black,3178,6,304,10.2,6,5/15/2020
Black,3221,5.9,311,10.2,6,5/16/2020
Black,3267,5.9,321,10.2,6,5/17/2020
Black,3334,5.9,323,10.2,6,5/18/2020
Black,3418,5.9,335,10.2,6,5/19/2020
Black,3465,5.8,344,10.2,6,5/20/2020
Black,3533,5.7,353,10.2,6,5/21/2020
Black,3616,5.7,357,10.2,6,5/22/2020
Black,3660,5.6,360,10.1,6,5/23/2020
Black,3699,5.6,362,10.1,6,5/24/2020
Black,3757,5.6,363,10.1,6,5/25/2020
Black,3797,5.5,369,10.2,6,5/26/2020
Black,3863,5.4,377,10.1,6,5/27/2020
Black,3914,5.3,383,10.1,6,5/28/2020
Black,4045,5.3,389,10,6,5/29/2020
Black,4137,5.3,397,10,6,5/30/2020
Black,4172,5.2,399,10,6,5/31/2020
Black,4218,5.2,408,10,6,6/1/2020
Black,4298,5.2,414,10,6,6/2/2020
Black,4378,5.2,424,10,6,6/3/2020
