RACE_ETHNICITY,CASES,CASE_PERCENTAGE,DEATHS,DEATH_PERCENTAGE,PERCENT_CA_POPULATION,DATE
Black,9697,4.3,621,8.8,6,7/14/2020
Multi-Race,1621,0.7,41,0.6,2.2,7/14/2020
Other,35554,15.9,87,1.2,0,7/14/2020
Latino,125858,54.8,3141,44,38.9,7/15/2020
White,40603,17.7,2217,31.1,36.6,7/15/2020
Asian,13417,5.8,962,13.5,15.4,7/15/2020
Black,9963,4.3,628,8.8,6,7/15/2020
Multi-Race,1679,0.7,41,0.6,2.2,7/15/2020
Other,36108,15.7,91,1.3,0,7/15/2020
Latino,129827,55.1,3204,44.2,38.9,7/16/2020
White,41589,17.7,2235,30.9,36.6,7/16/2020
Asian,13651,5.8,975,13.5,15.4,7/16/2020
Black,10199,4.3,635,8.8,6,7/16/2020
Multi-Race,1735,0.7,42,0.6,2.2,7/16/2020
Other,36602,15.5,90,1.2,0,7/16/2020
Latino,133843,55.4,3283,44.5,38.9,7/17/2020
White,42533,17.6,2269,30.8,36.6,7/17/2020
Asian,13898,5.8,987,13.4,15.4,7/17/2020
Black,10432,4.3,641,8.7,6,7/17/2020
Multi-Race,1790,0.7,41,0.6,2.2,7/17/2020
Other,36909,15.3,91,1.2,0,7/17/2020
Latino,137657,55.6,3359,44.8,38.9,7/18/2020
White,43542,17.6,2298,30.6,36.6,7/18/2020
Asian,14187,5.7,993,13.2,15.4,7/18/2020
Black,10678,4.3,654,8.7,6,7/18/2020
Multi-Race,1842,0.7,41,0.5,2.2,7/18/2020
Other,37417,15.1,91,1.2,0,7/18/2020
Latino,140066,55.7,3373,44.8,38.9,7/19/2020
White,44276,17.6,2308,30.7,36.6,7/19/2020
Asian,14368,5.7,997,13.2,15.4,7/19/2020
Black,10866,4.3,654,8.7,6,7/19/2020
Multi-Race,1887,0.7,41,0.5,2.2,7/19/2020
Other,38119,15.1,91,1.2,0,7/19/2020
Latino,143273,55.6,3386,44.8,38.9,7/20/2020
White,45199,17.5,2318,30.7,36.6,7/20/2020
Asian,14606,5.7,998,13.2,15.4,7/20/2020
Black,11069,4.3,654,8.7,6,7/20/2020
Multi-Race,1916,0.7,41,0.5,2.2,7/20/2020
Other,39369,15.3,92,1.2,0,7/20/2020
Latino,146903,55.6,3455,45,38.9,7/21/2020
White,46562,17.6,2347,30.6,36.6,7/21/2020
Asian,14920,5.6,1008,13.1,15.4,7/21/2020
Black,11396,4.3,660,8.6,6,7/21/2020
Multi-Race,1967,0.7,41,0.5,2.2,7/21/2020
Other,40455,15.3,93,1.2,0,7/21/2020
Latino,150960,55.6,3532,45.2,38.9,7/22/2020
White,47871,17.6,2384,30.5,36.6,7/22/2020
Asian,15253,5.6,1021,13.1,15.4,7/22/2020
Black,11717,4.3,672,8.6,6,7/22/2020
Multi-Race,2014,0.7,42,0.5,2.2,7/22/2020
Other,41644,15.3,97,1.2,0,7/22/2020
Latino,154440,55.6,3605,45.3,38.9,7/23/2020
White,48849,17.6,2418,30.4,36.6,7/23/2020
Asian,15529,5.6,1031,13,15.4,7/23/2020
Black,11969,4.3,681,8.6,6,7/23/2020
Multi-Race,2062,0.7,42,0.5,2.2,7/23/2020
Other,42374,15.3,105,1.3,0,7/23/2020
Latino,158493,55.7,3676,45.5,38.9,7/24/2020
White,50103,17.6,2450,30.3,36.6,7/24/2020
Asian,15810,5.6,1043,12.9,15.4,7/24/2020
Black,12281,4.3,691,8.6,6,7/24/2020
Multi-Race,2131,0.7,39,0.5,2.2,7/24/2020
Latino,205622,58.5,4512,46.8,38.9,8/6/2020
White,60095,17.1,2868,29.8,36.6,8/6/2020
Asian,19017,5.4,1183,12.3,15.4,8/6/2020
Black,14984,4.3,811,8.4,6,8/6/2020
Multi-Race,2914,0.8,54,0.6,2.2,8/6/2020
Other,46295,13.2,125,1.3,0,8/6/2020
Other,43217,15.2,108,1.3,0,7/24/2020
Latino,162991,56.1,3740,45.6,38.9,7/25/2020
White,50967,17.5,2474,30.2,36.6,7/25/2020
Asian,16090,5.5,1056,12.9,15.4,7/25/2020
Black,12503,4.3,697,8.5,6,7/25/2020
Multi-Race,2195,0.8,42,0.5,2.2,7/25/2020
Other,43453,15,112,1.4,0,7/25/2020
Latino,165201,56,3763,45.7,38.9,7/26/2020
White,51728,17.5,2484,30.2,36.6,7/26/2020
Asian,16289,5.5,1058,12.8,15.4,7/26/2020
Black,12741,4.3,701,8.5,6,7/26/2020
Multi-Race,2241,0.8,43,0.5,2.2,7/26/2020
Other,44468,15.1,112,1.4,0,7/26/2020
Latino,167650,56.1,3770,45.6,38.9,7/27/2020
White,52331,17.5,2495,30.2,36.6,7/27/2020
Asian,16449,5.5,1062,12.9,15.4,7/27/2020
Black,12866,4.3,701,8.5,6,7/27/2020
Multi-Race,2259,0.8,43,0.5,2.2,7/27/2020
Other,44931,15,112,1.4,0,7/27/2020
Latino,170398,56.1,3846,45.9,38.9,7/28/2020
White,53194,17.5,2516,30,36.6,7/28/2020
Asian,16699,5.5,1073,12.8,15.4,7/28/2020
Black,13099,4.3,710,8.5,6,7/28/2020
Multi-Race,2305,0.8,46,0.5,2.2,7/28/2020
Other,45580,15,109,1.3,0,7/28/2020
Latino,176527,56.6,3963,46.1,38.9,7/29/2020
White,54219,17.4,2583,30,36.6,7/29/2020
Asian,17049,5.5,1091,12.7,15.4,7/29/2020
Black,13382,4.3,722,8.4,6,7/29/2020
Multi-Race,2399,0.8,46,0.5,2.2,7/29/2020
Other,45709,14.7,115,1.3,0,7/29/2020
Latino,181443,57,4043,46.1,38.9,7/30/2020
White,55238,17.4,2633,30,36.6,7/30/2020
Asian,17323,5.4,1109,12.7,15.4,7/30/2020
Black,13622,4.3,734,8.4,6,7/30/2020
Multi-Race,2544,0.8,49,0.6,2.2,7/30/2020
Other,45547,14.3,118,1.3,0,7/30/2020
Latino,185186,57.4,4115,46.2,38.9,7/31/2020
White,55755,17.3,2667,30,36.6,7/31/2020
Asian,17534,5.4,1124,12.6,15.4,7/31/2020
Black,13795,4.3,745,8.4,6,7/31/2020
Multi-Race,2563,0.8,50,0.6,2.2,7/31/2020
Other,45265,14,121,1.4,0,7/31/2020
Latino,189415,57.7,4189,46.3,38.9,8/1/2020
White,56636,17.2,2713,30,36.6,8/1/2020
Asian,17776,5.4,1132,12.5,15.4,8/1/2020
Black,14024,4.3,756,8.4,6,8/1/2020
Multi-Race,2640,0.8,50,0.6,2.2,8/1/2020
Other,45266,13.8,126,1.4,0,8/1/2020
Latino,191958,57.8,4218,46.3,38.9,8/2/2020
White,57183,17.2,2735,30,36.6,8/2/2020
Asian,17959,5.4,1138,12.5,15.4,8/2/2020
Black,14149,4.3,761,8.3,6,8/2/2020
Multi-Race,2678,0.8,49,0.5,2.2,8/2/2020
Other,45387,13.7,130,1.4,0,8/2/2020
Latino,194440,58,4244,46.3,38.9,8/3/2020
White,57652,17.2,2754,30.1,36.6,8/3/2020
Asian,18092,5.4,1142,12.5,15.4,8/3/2020
Black,14265,4.3,764,8.3,6,8/3/2020
Multi-Race,2708,0.8,49,0.5,2.2,8/3/2020
Other,45494,13.6,124,1.4,0,8/3/2020
Latino,198039,58.2,4362,46.6,38.9,8/4/2020
White,58376,17.2,2803,29.9,36.6,8/4/2020
Asian,18392,5.4,1156,12.3,15.4,8/4/2020
Black,14475,4.3,787,8.4,6,8/4/2020
Multi-Race,2755,0.8,50,0.5,2.2,8/4/2020
Other,45492,13.4,122,1.3,0,8/4/2020
Latino,201559,58.4,4438,46.7,38.9,8/5/2020
White,59102,17.1,2836,29.8,36.6,8/5/2020
Asian,18678,5.4,1171,12.3,15.4,8/5/2020
Black,14691,4.3,797,8.4,6,8/5/2020
Multi-Race,2830,0.8,53,0.6,2.2,8/5/2020
Other,45658,13.2,122,1.3,0,8/5/2020
Latino,209385,58.6,4583,46.8,38.9,8/7/2020
White,60981,17.1,2920,29.8,36.6,8/7/2020
Asian,19325,5.4,1199,12.2,15.4,8/7/2020
Black,15253,4.3,819,8.4,6,8/7/2020
Multi-Race,2979,0.8,55,0.6,2.2,8/7/2020
Other,46748,13.1,129,1.3,0,8/7/2020
Latino,213410,58.7,4692,46.9,38.9,8/8/2020
White,61932,17,2988,29.9,36.6,8/8/2020
Asian,19659,5.4,1226,12.3,15.4,8/8/2020
Black,15502,4.3,830,8.3,6,8/8/2020
Multi-Race,3046,0.8,57,0.6,2.2,8/8/2020
Other,47023,12.9,124,1.2,0,8/8/2020
Latino,216008,58.8,4735,47,38.9,8/9/2020
White,62441,17,3011,29.9,36.6,8/9/2020
Asian,19819,5.4,1231,12.2,15.4,8/9/2020
Black,15622,4.3,835,8.3,6,8/9/2020
Multi-Race,3087,0.8,57,0.6,2.2,8/9/2020
Other,47170,12.8,124,1.2,0,8/9/2020
Latino,218706,58.8,4753,47,38.9,8/10/2020
White,63299,17,3021,29.9,36.6,8/10/2020
Asian,20010,5.4,1233,12.2,15.4,8/10/2020
Black,15831,4.3,837,8.3,6,8/10/2020
Multi-Race,3124,0.8,57,0.6,2.2,8/10/2020
Other,48199,13,124,1.2,0,8/10/2020
Latino,222781,58.8,4845,47,38.9,8/11/2020
White,64551,17,3075,29.9,36.6,8/11/2020
Asian,20399,5.4,1252,12.2,15.4,8/11/2020
Black,16141,4.3,850,8.3,6,8/11/2020
Multi-Race,3198,0.8,60,0.6,2.2,8/11/2020
Other,48781,12.9,130,1.3,0,8/11/2020
Latino,226715,58.9,4935,47.2,38.9,8/12/2020
White,65396,17,3118,29.8,36.6,8/12/2020
Asian,20696,5.4,1269,12.1,15.4,8/12/2020
Black,16390,4.3,857,8.2,6,8/12/2020
Multi-Race,3262,0.8,62,0.6,2.2,8/12/2020
Other,49136,12.8,127,1.2,0,8/12/2020
Latino,230367,58.9,5024,47.3,38.9,8/13/2020
White,66470,17,3160,29.8,36.6,8/13/2020
Asian,21090,5.4,1282,12.1,15.4,8/13/2020
Black,16729,4.3,864,8.1,6,8/13/2020
Multi-Race,3317,0.8,61,0.6,2.2,8/13/2020
Other,50279,12.8,130,1.2,0,8/13/2020
Latino,235700,58.9,5098,47.4,38.9,8/14/2020
White,68063,17,3204,29.8,36.6,8/14/2020
Asian,21537,5.4,1298,12.1,15.4,8/14/2020
Black,17130,4.3,872,8.1,6,8/14/2020
Multi-Race,3397,0.8,63,0.6,2.2,8/14/2020
Other,51334,12.8,136,1.3,0,8/14/2020
Latino,238931,58.9,5148,47.4,38.9,8/15/2020
White,68815,17,3226,29.7,36.6,8/15/2020
Asian,21825,5.4,1305,12,15.4,8/15/2020
Black,17361,4.3,874,8.1,6,8/15/2020
Multi-Race,3471,0.9,66,0.6,2.2,8/15/2020
Other,51760,12.8,139,1.3,0,8/15/2020
Latino,240925,59,5167,47.5,38.9,8/16/2020
White,69364,17,3229,29.7,36.6,8/16/2020
Asian,22008,5.4,1306,12,15.4,8/16/2020
Black,17496,4.3,875,8,6,8/16/2020
Multi-Race,3501,0.9,67,0.6,2.2,8/16/2020
Other,52053,12.7,138,1.3,0,8/16/2020
Latino,242587,59,5186,47.5,38.9,8/17/2020
White,69806,17,3238,29.7,36.6,8/17/2020
Asian,22147,5.4,1311,12,15.4,8/17/2020
Black,17615,4.3,876,8,6,8/17/2020
Multi-Race,3533,0.9,67,0.6,2.2,8/17/2020
Other,52325,12.7,138,1.3,0,8/17/2020
Latino,245505,59,5305,47.6,38.9,8/18/2020
White,70517,17,3316,29.7,36.6,8/18/2020
Asian,22447,5.4,1335,12,15.4,8/18/2020
Black,17812,4.3,892,8,6,8/18/2020
Multi-Race,3592,0.9,69,0.6,2.2,8/18/2020
Other,52602,12.6,137,1.2,0,8/18/2020
Latino,249313,59.2,5386,47.7,38.9,8/19/2020
White,71233,16.9,3356,29.7,36.6,8/19/2020
Asian,22737,5.4,1347,11.9,15.4,8/19/2020
Black,18043,4.3,905,8,6,8/19/2020
Multi-Race,3658,0.9,68,0.6,2.2,8/19/2020
Other,52719,12.5,142,1.3,0,8/19/2020
Latino,253097,59.4,5469,47.9,38.9,8/20/2020
White,71980,16.9,3379,29.6,36.6,8/20/2020
Asian,23023,5.4,1360,11.9,15.4,8/20/2020
Black,18254,4.3,912,8,6,8/20/2020
Multi-Race,3730,0.9,72,0.6,2.2,8/20/2020
Other,52805,12.4,133,1.2,0,8/20/2020
Latino,256677,59.5,5551,48,38.9,8/21/2020
White,72737,16.9,3413,29.5,36.6,8/21/2020
Asian,23299,5.4,1379,11.9,15.4,8/21/2020
Black,18440,4.3,924,8,6,8/21/2020
Multi-Race,3790,0.9,72,0.6,2.2,8/21/2020
Other,53011,12.3,134,1.2,0,8/21/2020
Latino,260163,59.6,5653,48.1,38.9,8/22/2020
White,73561,16.8,3466,29.5,36.6,8/22/2020
Asian,23584,5.4,1394,11.9,15.4,8/22/2020
Black,18651,4.3,935,8,6,8/22/2020
Multi-Race,3843,0.9,74,0.6,2.2,8/22/2020
Other,53280,12.2,139,1.2,0,8/22/2020
Latino,262106,59.5,5666,48.1,38.9,8/23/2020
White,74224,16.9,3470,29.5,36.6,8/23/2020
Asian,23811,5.4,1399,11.9,15.4,8/23/2020
Black,18817,4.3,935,7.9,6,8/23/2020
Multi-Race,3875,0.9,75,0.6,2.2,8/23/2020
Other,53800,12.2,135,1.1,0,8/23/2020
Latino,263688,59.5,5686,48.1,38.9,8/24/2020
White,74797,16.9,3492,29.6,36.6,8/24/2020
Asian,23977,5.4,1402,11.9,15.4,8/24/2020
Black,18956,4.3,935,7.9,6,8/24/2020
Multi-Race,3902,0.9,75,0.6,2.2,8/24/2020
Other,54385,12.3,134,1.1,0,8/24/2020
Latino,266430,59.5,5786,48.2,38.9,8/25/2020
White,75578,16.9,3549,29.6,36.6,8/25/2020
Asian,24252,5.4,1421,11.8,15.4,8/25/2020
Black,19168,4.3,945,7.9,6,8/25/2020
Multi-Race,3949,0.9,76,0.6,2.2,8/25/2020
Other,54653,12.2,134,1.1,0,8/25/2020
Latino,269683,59.7,5866,48.3,38.9,8/26/2020
White,76255,16.9,3591,29.6,36.6,8/26/2020
Asian,24476,5.4,1440,11.9,15.4,8/26/2020
Black,19321,4.3,951,7.8,6,8/26/2020
Multi-Race,4026,0.9,74,0.6,2.2,8/26/2020
Other,54502,12.1,132,1.1,0,8/26/2020
Latino,273132,59.8,5957,48.4,38.9,8/27/2020
White,76976,16.9,3621,29.4,36.6,8/27/2020
Asian,24747,5.4,1462,11.9,15.4,8/27/2020
Black,19495,4.3,956,7.8,6,8/27/2020
Multi-Race,4101,0.9,76,0.6,2.2,8/27/2020
Other,54488,11.9,136,1.1,0,8/27/2020
Latino,276268,59.9,5999,48.4,38.9,8/28/2020
White,77747,16.9,3655,29.5,36.6,8/28/2020
Asian,24997,5.4,1471,11.9,15.4,8/28/2020
Black,19680,4.3,966,7.8,6,8/28/2020
Multi-Race,4171,0.9,76,0.6,2.2,8/28/2020
Other,54595,11.8,139,1.1,0,8/28/2020
Latino,279244,59.9,6076,48.4,38.9,8/29/2020
White,78587,16.9,3702,29.5,36.6,8/29/2020
Asian,25300,5.4,1486,11.8,15.4,8/29/2020
Black,19874,4.3,975,7.8,6,8/29/2020
Multi-Race,4243,0.9,77,0.6,2.2,8/29/2020
Other,54940,11.8,145,1.2,0,8/29/2020
Latino,281216,60,6083,48.4,38.9,8/30/2020
White,79056,16.9,3703,29.5,36.6,8/30/2020
Asian,25464,5.4,1485,11.8,15.4,8/30/2020
Black,19978,4.3,975,7.8,6,8/30/2020
Multi-Race,4315,0.9,77,0.6,2.2,8/30/2020
Other,55062,11.7,146,1.2,0,8/30/2020
Latino,282690,60,6110,48.4,38.9,8/31/2020
White,79526,16.9,3716,29.5,36.6,8/31/2020
Asian,25585,5.4,1488,11.8,15.4,8/31/2020
Black,20098,4.3,979,7.8,6,8/31/2020
Multi-Race,4340,0.9,77,0.6,2.2,8/31/2020
Other,55381,11.7,145,1.1,0,8/31/2020
Latino,284716,60,6206,48.5,38.9,9/1/2020
White,80166,16.9,3773,29.5,36.6,9/1/2020
Asian,25812,5.4,1504,11.8,15.4,9/1/2020
Black,20245,4.3,996,7.8,6,9/1/2020
Multi-Race,4377,0.9,77,0.6,2.2,9/1/2020
Other,55505,11.7,147,1.1,0,9/1/2020
Latino,288009,60.1,6280,48.5,38.9,9/2/2020
White,80882,16.9,3811,29.4,36.6,9/2/2020
Asian,26090,5.4,1528,11.8,15.4,9/2/2020
Black,20440,4.3,1007,7.8,6,9/2/2020
Multi-Race,4463,0.9,82,0.6,2.2,9/2/2020
Other,55371,11.6,151,1.2,0,9/2/2020
Latino,291111,60.2,6353,48.4,38.9,9/3/2020
White,81675,16.9,3862,29.4,36.6,9/3/2020
Asian,26369,5.5,1549,11.8,15.4,9/3/2020
Black,20631,4.3,1019,7.8,6,9/3/2020
Multi-Race,4559,0.9,84,0.6,2.2,9/3/2020
Other,55378,11.5,156,1.2,0,9/3/2020
Latino,294449,60.3,6430,48.4,38.9,9/4/2020
White,82440,16.9,3918,29.5,36.6,9/4/2020
Asian,26634,5.5,1560,11.7,15.4,9/4/2020
Black,20863,4.3,1028,7.7,6,9/4/2020
Multi-Race,4650,1,88,0.7,2.2,9/4/2020
Other,55306,11.3,156,1.2,0,9/4/2020
Latino,297838,60.4,6488,48.4,38.9,9/5/2020
White,83259,16.9,3954,29.5,36.6,9/5/2020
Asian,26887,5.5,1572,11.7,15.4,9/5/2020
Black,21102,4.3,1038,7.7,6,9/5/2020
Multi-Race,4732,1,87,0.6,2.2,9/5/2020
Other,55302,11.2,159,1.2,0,9/5/2020
Latino,299981,60.5,6501,48.5,38.9,9/6/2020
White,83745,16.9,3952,29.5,36.6,9/6/2020
Asian,27060,5.5,1575,11.7,15.4,9/6/2020
Black,21216,4.3,1035,7.7,6,9/6/2020
Multi-Race,4789,1,87,0.6,2.2,9/6/2020
Other,55265,11.1,162,1.2,0,9/6/2020
Latino,301026,60.5,6520,48.4,38.9,9/7/2020
White,84121,16.9,3971,29.5,36.6,9/7/2020
Asian,27177,5.5,1579,11.7,15.4,9/7/2020
Black,21305,4.3,1039,7.7,6,9/7/2020
Multi-Race,4811,1,89,0.7,2.2,9/7/2020
Other,55504,11.1,162,1.2,0,9/7/2020
Latino,303310,60.5,6583,48.5,38.9,9/8/2020
White,84646,16.9,4019,29.6,36.6,9/8/2020
Asian,27335,5.5,1587,11.7,15.4,9/8/2020
Black,21434,4.3,1049,7.7,6,9/8/2020
Multi-Race,4846,1,90,0.7,2.2,9/8/2020
Other,55456,11.1,154,1.1,0,9/8/2020
Latino,305364,60.6,6637,48.5,38.9,9/9/2020
White,85124,16.9,4045,29.5,36.6,9/9/2020
Asian,27534,5.5,1597,11.7,15.4,9/9/2020
Black,21575,4.3,1059,7.7,6,9/9/2020
Multi-Race,4883,1,94,0.7,2.2,9/9/2020
Other,55425,11,159,1.2,0,9/9/2020
Latino,308367,60.7,6686,48.4,38.9,9/10/2020
White,85834,16.9,4088,29.6,36.6,9/10/2020
Asian,27797,5.5,1606,11.6,15.4,9/10/2020
Black,21724,4.3,1068,7.7,6,9/10/2020
Multi-Race,4991,1,96,0.7,2.2,9/10/2020
Other,55289,10.9,160,1.2,0,9/10/2020
Latino,311044,60.7,6761,48.6,38.9,9/11/2020
White,86555,16.9,4136,29.7,36.6,9/11/2020
Asian,28117,5.5,1644,11.8,15.4,9/11/2020
Black,21889,4.3,1072,7.7,6,9/11/2020
Multi-Race,5071,1,97,0.7,2.2,9/11/2020
Other,55335,10.8,116,0.8,0,9/11/2020
Latino,313582,60.8,6824,48.6,38.9,9/12/2020
White,87284,16.9,4165,29.7,36.6,9/12/2020
Asian,28330,5.5,1654,11.8,15.4,9/12/2020
Black,22091,4.3,1092,7.8,6,9/12/2020
Multi-Race,5148,1,98,0.7,2.2,9/12/2020
Other,55387,10.7,110,0.8,0,9/12/2020
Latino,315026,60.8,6824,48.6,38.9,9/13/2020
White,87683,16.9,4164,29.7,36.6,9/13/2020
Asian,28499,5.5,1654,11.8,15.4,9/13/2020
Black,22166,4.3,1091,7.8,6,9/13/2020
Multi-Race,5212,1,98,0.7,2.2,9/13/2020
Other,55521,10.7,110,0.8,0,9/13/2020
Latino,315777,60.8,6850,48.6,38.9,9/14/2020
White,87952,16.9,4182,29.7,36.6,9/14/2020
Asian,28576,5.5,1656,11.8,15.4,9/14/2020
Black,22216,4.3,1090,7.7,6,9/14/2020
Multi-Race,5211,1,99,0.7,2.2,9/14/2020
Other,55690,10.7,110,0.8,0,9/14/2020
Latino,318025,60.8,6939,48.6,38.9,9/15/2020
White,88615,16.9,4243,29.7,36.6,9/15/2020
Asian,28773,5.5,1673,11.7,15.4,9/15/2020
Black,22345,4.3,1101,7.7,6,9/15/2020
Multi-Race,5273,1,98,0.7,2.2,9/15/2020
Other,55644,10.6,110,0.8,0,9/15/2020
Latino,320694,60.9,6967,48.5,38.9,9/16/2020
White,89200,16.9,4281,29.8,36.6,9/16/2020
Asian,28994,5.5,1683,11.7,15.4,9/16/2020
Black,22454,4.3,1113,7.8,6,9/16/2020
Multi-Race,5366,1,98,0.7,2.2,9/16/2020
Other,55465,10.5,112,0.8,0,9/16/2020
Latino,323301,61,7011,48.5,38.9,9/17/2020
White,89819,16.9,4316,29.8,36.6,9/17/2020
Asian,29228,5.5,1700,11.8,15.4,9/17/2020
Black,22592,4.3,1113,7.7,6,9/17/2020
Multi-Race,5434,1,98,0.7,2.2,9/17/2020
Other,55427,10.5,116,0.8,0,9/17/2020
Latino,325950,61,7087,48.6,38.9,9/18/2020
White,90580,17,4338,29.7,36.6,9/18/2020
Asian,29445,5.5,1712,11.7,15.4,9/18/2020
Black,22772,4.3,1122,7.7,6,9/18/2020
Multi-Race,5491,1,101,0.7,2.2,9/18/2020
Other,55502,10.4,115,0.8,0,9/18/2020
Latino,328275,61.1,7120,48.5,38.9,9/19/2020
White,91202,17,4369,29.8,36.6,9/19/2020
Asian,29647,5.5,1717,11.7,15.4,9/19/2020
Black,22921,4.3,1134,7.7,6,9/19/2020
Multi-Race,5547,1,103,0.7,2.2,9/19/2020
Other,55702,10.4,115,0.8,0,9/19/2020
Latino,329643,61.1,7125,48.5,38.9,9/20/2020
White,91656,17,4382,29.8,36.6,9/20/2020
Asian,29790,5.5,1720,11.7,15.4,9/20/2020
Black,23014,4.3,1138,7.7,6,9/20/2020
Multi-Race,5603,1,103,0.7,2.2,9/20/2020
Other,55897,10.4,116,0.8,0,9/20/2020
Latino,330429,61,7136,48.5,38.9,9/21/2020
White,92033,17,4393,29.8,36.6,9/21/2020
Asian,29861,5.5,1724,11.7,15.4,9/21/2020
Black,23073,4.3,1140,7.7,6,9/21/2020
Multi-Race,5613,1,103,0.7,2.2,9/21/2020
Other,56130,10.4,116,0.8,0,9/21/2020
Latino,332405,61,7223,48.5,38.9,9/22/2020
White,92581,17,4440,29.8,36.6,9/22/2020
Asian,30073,5.5,1739,11.7,15.4,9/22/2020
Black,23232,4.3,1151,7.7,6,9/22/2020
Multi-Race,5653,1,105,0.7,2.2,9/22/2020
Other,56189,10.3,119,0.8,0,9/22/2020
Latino,335051,61.1,7282,48.5,38.9,9/23/2020
White,93258,17,4474,29.8,36.6,9/23/2020
Asian,30246,5.5,1752,11.7,15.4,9/23/2020
Black,23355,4.3,1157,7.7,6,9/23/2020
Multi-Race,5713,1,102,0.7,2.2,9/23/2020
Other,56134,10.2,116,0.8,0,9/23/2020
Latino,337558,61.2,7334,48.6,38.9,9/24/2020
White,93926,17,4495,29.8,36.6,9/24/2020
Asian,30456,5.5,1765,11.7,15.4,9/24/2020
Black,23493,4.3,1167,7.7,6,9/24/2020
Multi-Race,5778,1,102,0.7,2.2,9/24/2020
Other,56109,10.2,118,0.8,0,9/24/2020
Latino,339485,61.1,7376,48.5,38.9,9/25/2020
White,94772,17.1,4537,29.8,36.6,9/25/2020
Asian,30654,5.5,1779,11.7,15.4,9/25/2020
Black,23695,4.3,1172,7.7,6,9/25/2020
Multi-Race,5830,1,101,0.7,2.2,9/25/2020
Other,56414,10.2,121,0.8,0,9/25/2020
Latino,341600,61.1,7389,48.4,38.9,9/26/2020
White,95499,17.1,4567,29.9,36.6,9/26/2020
Asian,30841,5.5,1794,11.7,15.4,9/26/2020
Black,23848,4.3,1177,7.7,6,9/26/2020
Multi-Race,5883,1.1,99,0.6,2.2,9/26/2020
Other,56629,10.1,125,0.8,0,9/26/2020
Latino,342756,61.1,7400,48.4,38.9,9/27/2020
White,95894,17.1,4572,29.9,36.6,9/27/2020
Asian,30963,5.5,1795,11.7,15.4,9/27/2020
Black,23911,4.3,1178,7.7,6,9/27/2020
Multi-Race,5941,1.1,99,0.6,2.2,9/27/2020
Other,56725,10.1,125,0.8,0,9/27/2020
Latino,343345,61.1,7404,48.4,38.9,9/28/2020
White,96157,17.1,4577,29.9,36.6,9/28/2020
Asian,31031,5.5,1800,11.8,15.4,9/28/2020
Black,23943,4.3,1178,7.7,6,9/28/2020
Multi-Race,5943,1.1,99,0.6,2.2,9/28/2020
Other,56887,10.1,124,0.8,0,9/28/2020
Latino,344920,61.1,7494,48.3,38.9,9/29/2020
White,96828,17.1,4658,30,36.6,9/29/2020
Asian,31218,5.5,1828,11.8,15.4,9/29/2020
Black,24098,4.3,1186,7.6,6,9/29/2020
Multi-Race,5966,1.1,103,0.7,2.2,9/29/2020
Other,57167,10.1,125,0.8,0,9/29/2020
Latino,347065,61.1,7549,48.4,38.9,9/30/2020
White,97491,17.2,4681,30,36.6,9/30/2020
Asian,31419,5.5,1832,11.7,15.4,9/30/2020
Black,24242,4.3,1192,7.6,6,9/30/2020
Multi-Race,6024,1.1,106,0.7,2.2,9/30/2020
Other,57167,10.1,128,0.8,0,9/30/2020
Latino,348997,61.1,7639,48.4,38.9,10/1/2020
White,98284,17.2,4721,29.9,36.6,10/1/2020
Asian,31626,5.5,1852,11.7,15.4,10/1/2020
Black,24396,4.3,1205,7.6,6,10/1/2020
Multi-Race,6138,1.1,106,0.7,2.2,10/1/2020
Other,57389,10,126,0.8,0,10/1/2020
Latino,350190,61.1,7660,48.5,38.9,10/2/2020
White,98625,17.2,4727,30,36.6,10/2/2020
Asian,31772,5.5,1855,11.8,15.4,10/2/2020
Black,24475,4.3,1201,7.6,6,10/2/2020
Multi-Race,6192,1.1,109,0.7,2.2,10/2/2020
Other,57322,10,106,0.7,0,10/2/2020
Latino,351834,61.1,7697,48.6,38.9,10/3/2020
White,99208,17.2,4738,29.9,36.6,10/3/2020
Asian,31990,5.6,1869,11.8,15.4,10/3/2020
Black,24581,4.3,1213,7.7,6,10/3/2020
Multi-Race,6241,1.1,110,0.7,2.2,10/3/2020
Other,57494,10,92,0.6,0,10/3/2020
Latino,353042,61.1,7708,48.6,38.9,10/4/2020
White,99584,17.2,4746,29.9,36.6,10/4/2020
Asian,32127,5.6,1873,11.8,15.4,10/4/2020
Black,24660,4.3,1213,7.6,6,10/4/2020
Multi-Race,6273,1.1,113,0.7,2.2,10/4/2020
Other,57665,10,89,0.6,0,10/4/2020
Latino,353765,61.1,7725,48.6,38.9,10/5/2020
White,99855,17.2,4753,29.9,36.6,10/5/2020
Asian,32229,5.6,1871,11.8,15.4,10/5/2020
Black,24704,4.3,1214,7.6,6,10/5/2020
Multi-Race,6292,1.1,113,0.7,2.2,10/5/2020
Other,57708,10,91,0.6,0,10/5/2020
Latino,355086,61.1,7778,48.6,38.9,10/6/2020
White,100382,17.3,4786,29.9,36.6,10/6/2020
Asian,32359,5.6,1881,11.8,15.4,10/6/2020
Black,24802,4.3,1217,7.6,6,10/6/2020
Multi-Race,6335,1.1,114,0.7,2.2,10/6/2020
Other,57848,9.9,94,0.6,0,10/6/2020
Latino,357277,61.1,7818,48.6,38.9,10/7/2020
White,100982,17.3,4812,29.9,36.6,10/7/2020
